time	pressure	flow
0.171	28.259	1.112333333
0.172	28.20184127	1.062920635
0.173	28.12079365	1.239968254
0.174	28.03038095	1.34152381
0.175	27.95944444	1.277777778
0.176	27.88298413	1.373619048
0.177	27.79509524	1.45847619
0.178	27.7344127	1.382793651
0.179	27.63939683	1.14731746
0.18	27.57285714	1.017619048
0.181	27.49160317	1.023333333
0.182	27.40222222	0.931333333
0.183	27.30280952	0.631285714
0.184	27.21044444	0.381555556
0.185	27.14896825	0.447142857
0.186	27.05619048	0.644380952
0.187	26.95447619	0.69868254
0.188	26.88019048	0.530412698
0.189	26.78933333	0.425333333
0.19	26.71047619	0.553492063
0.191	26.62001587	0.69731746
0.192	26.53466667	0.58447619
0.193	26.46784127	0.193333333
0.194	26.38155556	-0.042126984
0.195	26.30071429	0.109047619
0.196	26.21577778	0.185111111
0.197	26.14752381	-0.00368254
0.198	26.05866667	-0.195238095
0.199	25.99193651	-0.06968254
0.2	25.89492063	0.221428571
0.201	25.82204762	0.080571429
0.202	25.72206349	-0.437650794
0.203	25.64255556	-0.786666667
0.204	25.5492381	-0.826666667
0.205	25.45896825	-0.764603175
0.206	25.34930159	-0.994285714
0.207	25.26642857	-1.229714286
0.208	25.18298413	-1.022253968
0.209	25.09995238	-0.660190476
0.21	25.07	-0.826666667
